2025-04-13 19:44:11,064 - [Train Epoch 1] MTM=0.5310, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-13 19:46:57,772 - [Val Epoch 1] MTM=0.1064, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-13 20:21:08,694 - [Train Epoch 2] MTM=0.1893, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-13 20:26:03,930 - [Val Epoch 2] MTM=0.0793, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-13 21:00:03,144 - [Train Epoch 3] MTM=0.1552, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-13 21:05:13,495 - [Val Epoch 3] MTM=0.0712, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 20:33:25,516 - [Train Epoch 4] MTM=0.1378, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 20:36:08,332 - [Val Epoch 4] MTM=0.0664, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 21:04:26,542 - [Train Epoch 5] MTM=0.1275, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 21:07:08,610 - [Val Epoch 5] MTM=0.0632, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 21:35:27,583 - [Train Epoch 6] MTM=0.1206, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 21:38:10,114 - [Val Epoch 6] MTM=0.0611, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 22:06:30,592 - [Train Epoch 7] MTM=0.1159, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 22:09:13,544 - [Val Epoch 7] MTM=0.0591, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 22:37:31,008 - [Train Epoch 8] MTM=0.1117, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 22:40:13,376 - [Val Epoch 8] MTM=0.0577, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-14 23:08:30,865 - [Train Epoch 9] MTM=0.1086, T2T=0.0000, T2N=0.0000, N2N=0.0000
