2025-04-05 18:55:18,035 - [Train Epoch 1] MTM=2.5357, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 18:58:09,861 - [Val Epoch 1] MTM=7.2273, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 19:34:14,077 - [Train Epoch 2] MTM=1.0126, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 19:37:02,273 - [Val Epoch 2] MTM=5.9275, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 20:14:25,665 - [Train Epoch 3] MTM=0.4744, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 20:17:14,390 - [Val Epoch 3] MTM=10.6067, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 21:37:59,427 - [Train Epoch 4] MTM=0.3377, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 21:40:51,058 - [Val Epoch 4] MTM=5.0677, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 22:17:13,811 - [Train Epoch 5] MTM=0.2799, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 22:20:07,208 - [Val Epoch 5] MTM=5.4171, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 22:59:47,244 - [Train Epoch 6] MTM=0.2515, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 23:04:22,382 - [Val Epoch 6] MTM=5.3571, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 23:52:13,744 - [Train Epoch 7] MTM=0.2311, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 23:56:53,753 - [Val Epoch 7] MTM=4.9751, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 00:39:07,675 - [Train Epoch 8] MTM=0.2153, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 00:43:43,527 - [Val Epoch 8] MTM=6.4144, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 01:31:34,544 - [Train Epoch 9] MTM=0.2047, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 01:36:14,741 - [Val Epoch 9] MTM=10.0976, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 02:16:42,358 - [Train Epoch 10] MTM=0.1962, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 02:19:33,382 - [Val Epoch 10] MTM=5.9245, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 02:55:59,599 - [Train Epoch 11] MTM=0.1883, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 02:58:52,708 - [Val Epoch 11] MTM=6.6570, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 03:35:10,976 - [Train Epoch 12] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 03:38:02,028 - [Val Epoch 12] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 04:14:16,918 - [Train Epoch 13] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 04:17:09,804 - [Val Epoch 13] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 04:53:27,370 - [Train Epoch 14] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 04:56:18,928 - [Val Epoch 14] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 05:32:30,604 - [Train Epoch 15] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-06 05:35:23,992 - [Val Epoch 15] MTM=nan, T2T=0.0000, T2N=0.0000, N2N=0.0000
